name,artist,danceability,key,mode,instrumentalness,duration,energy,loudness,speechiness,acousticness,tempo,liveness,valence,popularity,hollywood
slow show,thenational,0.575,4,1,0.897,1.567648936,0.705,-8.421,0.0319,0.665,0.682044429,0.13,0.545,0.261306533,1
on the other side,thestrokes,0.605,10,1,0.000116,1.69913011,0.811,-2.341,0.0316,0.00367,0.495433946,0.135,0.548,0,1
my all,mariahcarey,0.608,7,0,1.97E-05,1.476811467,0.301,-10.223,0.0289,0.735,0.491465638,0.0897,0.103,0.165829146,1
ae,goldfrapp,0.554,8,1,0.19,1.296609991,0.496,-7.943,0.025,0.662,0.481760783,0.122,0.233,0,1
you keep me hanging on,kimwilde,0.694,7,0,8.87E-05,1.602398181,0.87,-5.911,0.0361,0.139,0.553835804,0.153,0.598,0,1
inní mér syngur vitleysingur,sigurrós,0.39,7,1,0.0185,1.558825832,0.857,-5.293,0.0296,0.343,0.483115372,0.367,0.616,0.185929648,1
just so you know,jessemccartney,0.573,10,1,0,1.498541268,0.82,-4.855,0.0266,0.0129,0.354434005,0.32,0.516,0.150753769,1
henrietta,thefratellis,0.605,6,0,0,1.379623988,0.954,-3.137,0.0777,0.0178,0.556644984,0.225,0.837,0.271356784,1
gabriel,lamb,0.425,11,0,0.0062,1.625097604,0.534,-9.066,0.0333,0.18,0.380548472,0.0562,0.187,0,1
never enough,epica,0.51,4,0,0.00199,1.746430887,0.928,-2.661,0.05,0.013,0.477292459,0.323,0.3,0,1
 down,boysnoize,0.609,1,0,0.223,1.613793484,0.627,-4.104,0.33,0.0448,0.559135973,0.318,0.258,0,1
easier to run,linkinpark,0.545,3,0,0,1.331812944,0.861,-4.819,0.034,0.0624,0.477365189,0.131,0.279,0.256281407,1
fear of the dark  1998 remastered version,ironmaiden,0.302,2,0,0.00034,2.27980044,0.815,-8.756,0.0582,0.000762,0.499729537,0.0959,0.251,0,1
las nubes de tu pelo,fitoyfitipaldis,0.828,4,0,0.0312,1.362739189,0.525,-8.179,0.0762,0.849,0.718004664,0.124,0.772,0.246231156,1
mourning palace,dimmuborgir,0.166,6,0,0.824,1.841448016,0.935,-5.215,0.0979,1.42E-05,0.580409377,0.288,0.208,0,1
bryn,vampireweekend,0.511,2,1,0.0249,0.842488324,0.751,-4.686,0.0409,0.0508,0.81682599,0.316,0.854,0.201005025,1
consoler of the lonely,theraconteurs,0.411,0,1,3.02E-06,1.345644166,0.82,-5.029,0.0854,0.0189,0.454209907,0.358,0.567,0,1
